RIG_NAME,RIG_TYPE,RIG_STATUS,OWNER,OPERATOR,IMO_NUMBER,FLAG_STATE,WATER_DEPTH_RATING_FT,DRILLING_DEPTH_RATING_FT,MAX_WATER_DEPTH_FT,LOA_M,BEAM_M,DISPLACEMENT_TONNES,MOONPOOL_DIAMETER_M,DP_CLASS,YEAR_BUILT,WELLS_DRILLED_COUNT,LAST_WAR_DATE,FIRST_WAR_DATE,LAST_AREA_CODE,LAST_BLOCK_NUMBER,DATA_SOURCE,IS_OFFSHORE
PRIDE ARKANSAS,jack_up,,,,,,,,164.0,,,,,,,31.0,9/7/1999,1/10/1998,MP,,bsee_war,True
#2 CARAVEL PROSPECT,unknown,,,,,,,,,,,,,,,1.0,6/3/2000,4/8/2000,WC,,bsee_war,True
&P 108,unknown,,,,,,,,,,,,,,,1.0,12/8/2000,11/30/2000,SP,,bsee_war,True
* ANCHOR HANDLING VESSEL,support_vessel,,,,,,,,,,,,,,,10.0,7/2/2015 11:59:00 PM,10/10/2015,AT,,bsee_war,True
* BARGE RIG TO BE DETERMINED,inland_barge,,,,,,,,,,,,,,,200.0,9/8/2018 11:59:00 PM,1/10/2017,SS,,bsee_war,True
* BARGE TO BE DETERMINED,inland_barge,,,,,,,,,,,,,,,44.0,9/29/2025 11:59:00 PM,1/2/2026,SS,,bsee_war,True
COIL TUBING UNIT,coil_tubing_unit,,,,,,,,3232.0,,,,,,,67.0,9/4/2004,1/11/2005,GB,,bsee_war,True
* COIL TUBING UNIT (HOUMA #2),coil_tubing_unit,,,,,,,,,,,,,,,17.0,9/24/2011 11:59:00 PM,1/13/2013 12:01:00 AM,GC,,bsee_war,True
* COIL TUBING UNIT (HOUMA #3),coil_tubing_unit,,,,,,,,,,,,,,,2.0,2/2/2013 11:59:00 PM,1/20/2013 12:01:00 AM,SS,,bsee_war,True
* COIL TUBING UNIT (HOUMA #4),coil_tubing_unit,,,,,,,,,,,,,,,1.0,3/8/2014 11:59:00 PM,2/17/2014,ST,,bsee_war,True
* COIL TUBING UNIT (HOUMA DIST,coil_tubing_unit,,,,,,,,,,,,,,,302.0,9/8/2012 11:59:00 PM,1/1/2012 12:01:00 AM,BM,,bsee_war,True
* COIL TUBING UNIT (L.C. #2),coil_tubing_unit,,,,,,,,,,,,,,,4.0,7/7/2012 11:59:00 PM,1/11/2016,SM,,bsee_war,True
* COIL TUBING UNIT (L.C. DIST),coil_tubing_unit,,,,,,,,,,,,,,,110.0,9/8/2014 11:59:00 PM,1/1/2012 12:01:00 AM,VR,,bsee_war,True
* COIL TUBING UNIT (L.J. #2),coil_tubing_unit,,,,,,,,,,,,,,,2.0,7/7/2012 11:59:00 PM,6/1/2012,HI,,bsee_war,True
* COIL TUBING UNIT (L.J. #3),coil_tubing_unit,,,,,,,,,,,,,,,1.0,5/19/2013 11:59:00 PM,5/19/2013 12:01:00 AM,HI,,bsee_war,True
* COIL TUBING UNIT (L.J. DIST),coil_tubing_unit,,,,,,,,,,,,,,,108.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,HI,,bsee_war,True
* COIL TUBING UNIT (LAF #2),coil_tubing_unit,,,,,,,,,,,,,,,5.0,9/7/2013 11:59:00 PM,1/11/2015 12:01:00 AM,EI,,bsee_war,True
* COIL TUBING UNIT (LAF DIST),coil_tubing_unit,,,,,,,,,,,,,,,156.0,9/8/2012 11:59:00 PM,1/10/2016 12:01:00 AM,EI,,bsee_war,True
* COIL TUBING UNIT (N.O. #2),coil_tubing_unit,,,,,,,,,,,,,,,4.0,6/8/2013 11:59:00 PM,10/18/2016,MP,,bsee_war,True
* COIL TUBING UNIT (N.O. #3),coil_tubing_unit,,,,,,,,,,,,,,,1.0,5/9/2015 11:59:00 PM,3/31/2015,MO,,bsee_war,True
* COIL TUBING UNIT (N.O. DIST),coil_tubing_unit,,,,,,,,,,,,,,,277.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,GI,,bsee_war,True
DIVE SUPPORT VESSEL (DSV),support_vessel,,,,,,,,,,,,,,,145.0,9/9/2019 11:59:00 PM,1/10/2010 12:01:00 AM,SS,,bsee_war,True
* DP SEMI RIG TO BE DETERMINED,unknown,,,,,,,,,,,,,,,9.0,9/22/2014 11:59:00 PM,10/13/2013 12:01:00 AM,MC,,bsee_war,True
* DRILL SHIP TO BE DETERMINED,unknown,,,,,,,,,,,,,,,1.0,5/17/2014 11:59:00 PM,5/13/2014,MC,,bsee_war,True
* EEB Generic Inspection Facility,unknown,,,,,,,,,,,,,,,1.0,3/12/2023 11:59:00 PM,3/11/2023,MC,,bsee_war,True
GENERIC COIL TUBING UNIT,coil_tubing_unit,,,,,,,,,,,,,,,8.0,9/6/2004,1/10/2010 12:01:00 AM,BA,,bsee_war,True
* GENERIC PIPELINE CONSTRUCTION VESSEL,support_vessel,,,,,,,,,,,,,,,14.0,9/2/2023 11:59:00 PM,1/11/2024,GC,,bsee_war,True
* GENERIC SNUBBING UNIT,snubbing_unit,,,,,,,,,,,,,,,1.0,6/26/2014 11:59:00 PM,6/15/2014,MC,,bsee_war,True
HYDRAULIC WORKOVER UNIT,snubbing_unit,,,,,,,,262.0,,,,,,,4.0,9/4/2004,10/2/2005,EI,,bsee_war,True
* HYDRAULIC WORKOVER UNIT      HO#2,snubbing_unit,,,,,,,,,,,,,,,1.0,8/8/2013 11:59:00 PM,8/1/2013,GC,,bsee_war,True
* HYDRAULIC WORKOVER UNIT (ALTERNATE),snubbing_unit,,,,,,,,,,,,,,,1.0,12/7/2013 11:59:00 PM,1/12/2014 12:01:00 AM,EW,,bsee_war,True
* HYDRAULIC WORKOVER UNIT (HO),snubbing_unit,,,,,,,,,,,,,,,93.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,MC,,bsee_war,True
* HYDRAULIC WORKOVER UNIT (LAF,snubbing_unit,,,,,,,,,,,,,,,15.0,9/28/2014 11:59:00 PM,1/10/2016 12:01:00 AM,SM,,bsee_war,True
* HYDRAULIC WORKOVER UNIT (LC),snubbing_unit,,,,,,,,,,,,,,,22.0,9/8/2012 11:59:00 PM,1/1/2012 12:01:00 AM,SM,,bsee_war,True
* HYDRAULIC WORKOVER UNIT (LJ),snubbing_unit,,,,,,,,129.0,,,,,,,26.0,9/7/2013 11:59:00 PM,1/1/2012 12:01:00 AM,EB,,bsee_war,True
* HYDRAULIC WORKOVER UNIT (NO),snubbing_unit,,,,,,,,,,,,,,,70.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,MC,,bsee_war,True
* HYDRAULIC WORKOVER UNIT HO#3,snubbing_unit,,,,,,,,,,,,,,,1.0,3/21/2013 11:59:00 PM,3/20/2013,ST,,bsee_war,True
* HYDRAULIC WORKOVER UNIT LJ#2,snubbing_unit,,,,,,,,,,,,,,,2.0,2/4/2012 11:59:00 PM,1/1/2012 12:01:00 AM,HI,,bsee_war,True
* HYDRAULIC WORKOVER UNIT NO#2,snubbing_unit,,,,,,,,,,,,,,,1.0,7/21/2012 11:59:00 PM,7/19/2012,VR,,bsee_war,True
* JACKUP RIG TO BE DETERMINED,unknown,,,,,,,,,,,,,,,2.0,8/24/2019 11:59:00 PM,4/13/2011,EC,,bsee_war,True
LIFT BOAT,lift_boat,,,,,,,,325.0,,,,,,,134.0,9/7/2003,1/1/2006,BA,,bsee_war,True
* LIFT BOAT (HOUMA #2),lift_boat,,,,,,,,,,,,,,,16.0,9/5/2015 11:59:00 PM,10/16/2011 12:01:00 AM,SS,,bsee_war,True
* LIFT BOAT (HOUMA #3),lift_boat,,,,,,,,,,,,,,,2.0,9/7/2013 11:59:00 PM,1/22/2012,ST,,bsee_war,True
* LIFT BOAT (HOUMA DIST),lift_boat,,,,,,,,,,,,,,,400.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,SS,,bsee_war,True
* LIFT BOAT (L.C.#2),lift_boat,,,,,,,,,,,,,,,6.0,9/8/2012 11:59:00 PM,10/10/2012,EC,,bsee_war,True
