VESSEL_NAME,VESSEL_CATEGORY,VESSEL_TYPE,VESSEL_SUBTYPE,OWNER,OPERATOR,IMO_NUMBER,FLAG_STATE,STATUS,DATA_SOURCE,DATA_SOURCE_URL,LOA_M,BEAM_M,DRAFT_M,DISPLACEMENT_TONNES,GROSS_TONNAGE,DP_CLASS,YEAR_BUILT,QUARTERS_CAPACITY,HELIDECK,MAIN_CRANE_CAPACITY_T,MAIN_CRANE_REACH_M,AUX_CRANE_CAPACITY_T,AUX_CRANE_REACH_M,PIPELAY_TENSION_T,PIPELAY_METHOD,DECK_AREA_M2,DECK_LOAD_CAPACITY_T,WATER_DEPTH_RATING_M,HEAVY_LIFT_CAPACITY_T,ROV_SYSTEMS,MOONPOOL,TURBINE_CAPACITY_MW,FOUNDATION_TYPE,TRANSIT_SPEED_KNOTS
SLEIPNIR,construction,crane_vessel,semi_submersible,Heerema Marine Contractors,Heerema Marine Contractors,9781425,Netherlands,active,heerema_fleet,https://www.heerema.com/fleet/sleipnir,220.0,102.0,27.5,,,3,2019,400,TRUE,10000.0,48.0,,,,,11000.0,,3000.0,,2,TRUE,,,11.0
THIALF,construction,crane_vessel,semi_submersible,Heerema Marine Contractors,Heerema Marine Contractors,8803300,Netherlands,active,heerema_fleet,https://www.heerema.com/fleet/thialf,201.0,88.4,31.2,71368.0,87647.0,3,1985,736,TRUE,14200.0,31.2,,,,,7000.0,,2500.0,14200.0,2,TRUE,,,8.0
BALDER,construction,crane_vessel,semi_submersible,Heerema Marine Contractors,Heerema Marine Contractors,7381086,Netherlands,active,heerema_fleet,https://www.heerema.com/fleet/balder,152.0,76.8,25.0,,,2,1978,378,TRUE,6300.0,29.0,,,,,4000.0,,1500.0,6300.0,2,FALSE,,,8.0
AEGIR,construction,wind_installation,jack_up,Heerema Marine Contractors,Heerema Marine Contractors,9918390,Netherlands,active,heerema_fleet,https://www.heerema.com/fleet/aegir,169.0,47.0,12.5,,,2,2022,120,TRUE,5000.0,,,,,,,5000.0,1500.0,,2,FALSE,15.0,monopile/jacket,11.0
PIONEERING SPIRIT,construction,pipelay_vessel,monohull,Allseas Group,Allseas Group,9593505,Switzerland,active,allseas_fleet,https://allseas.com/fleet/pioneering-spirit,382.0,124.0,25.0,900000.0,403342.0,3,2014,571,TRUE,,,,,2000.0,reel,8000.0,48000.0,4000.0,48000.0,4,TRUE,,,5.5
AUDACIA,construction,pipelay_vessel,monohull,Allseas Group,Allseas Group,9859090,Switzerland,active,allseas_fleet,https://allseas.com/fleet/audacia,199.0,40.0,8.5,,,3,2019,199,TRUE,400.0,25.0,,,2000.0,J-lay,3800.0,10000.0,3000.0,,2,TRUE,,,12.0
SOLITAIRE,construction,pipelay_vessel,monohull,Allseas Group,Allseas Group,9125839,Switzerland,active,allseas_fleet,https://allseas.com/fleet/solitaire,300.0,41.0,13.5,,,3,1998,420,TRUE,,,,,3000.0,S-lay,4600.0,22000.0,3000.0,,2,TRUE,,,6.0
SAIPEM 7000,construction,crane_vessel,semi_submersible,Saipem,Saipem,7392610,Italy,active,saipem_fleet,https://www.saipem.com/fleet/saipem-7000,198.0,87.0,25.0,,,3,1987,750,TRUE,14000.0,40.0,7000.0,48.0,,,9000.0,,3000.0,14000.0,6,TRUE,,,8.0
SAIPEM FDS,construction,pipelay_vessel,semi_submersible,Saipem,Saipem,9271448,Italy,active,saipem_fleet,https://www.saipem.com/fleet/saipem-fds,152.0,92.0,23.0,,,3,2005,200,TRUE,5000.0,40.0,,,1500.0,J-lay,6500.0,,2000.0,,4,TRUE,,,8.0
SAIPEM FDS2,construction,pipelay_vessel,semi_submersible,Saipem,Saipem,9661423,Italy,active,saipem_fleet,https://www.saipem.com/fleet/saipem-fds2,152.0,92.0,23.0,,,3,2014,200,TRUE,5000.0,40.0,,,2000.0,J-lay,6500.0,,3000.0,,4,TRUE,,,8.0
